都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,経度,緯度,原典資料コード,大字・字・丁目区分コード
16,富山県,16201,富山市,1.6201E+11,木場町,137.209958,36.713547,0,1
16,富山県,16201,富山市,1.6201E+11,経田,137.189503,36.650128,0,1
16,富山県,16201,富山市,1.6201E+11,経堂,137.253097,36.69089,0,1
16,富山県,16201,富山市,1.6201E+11,経堂一丁目,137.253211,36.686535,0,3
16,富山県,16201,富山市,1.6201E+11,経堂二丁目,137.254914,36.687039,0,3
16,富山県,16201,富山市,1.6201E+11,経堂三丁目,137.252624,36.689992,0,3
16,富山県,16201,富山市,1.6201E+11,経堂四丁目,137.250713,36.691737,0,3
16,富山県,16201,富山市,1.6201E+11,経堂新町,137.257027,36.686062,0,1
16,富山県,16201,富山市,1.6201E+11,経力,137.224134,36.637347,0,1
16,富山県,16201,富山市,1.6201E+11,金泉寺,137.262825,36.722621,0,1
16,富山県,16201,富山市,1.6201E+11,銀嶺町,137.252054,36.750061,0,1
16,富山県,16201,富山市,1.6201E+11,久郷,137.179588,36.684693,0,1
16,富山県,16201,富山市,1.6201E+11,草島,137.215951,36.751616,0,1
16,富山県,16201,富山市,1.6201E+11,楠木,137.256757,36.734663,0,1
16,富山県,16201,富山市,1.6201E+11,窪新町,137.232084,36.70562,0,1
16,富山県,16201,富山市,1.6201E+11,窪本町,137.23,36.701979,0,1
16,富山県,16201,富山市,1.6201E+11,公文名,137.234377,36.677101,0,1
16,富山県,16201,富山市,1.6201E+11,栗山,137.204757,36.62385,0,1
16,富山県,16201,富山市,1.6201E+11,楜ケ原,137.288693,36.578328,0,1
16,富山県,16201,富山市,1.6201E+11,呉羽野田,137.170864,36.734756,0,1
16,富山県,16201,富山市,1.6201E+11,呉羽町,137.16975,36.714407,0,1
16,富山県,16201,富山市,1.6201E+11,呉羽町北,137.171645,36.722598,0,1
16,富山県,16201,富山市,1.6201E+11,呉羽町西,137.164762,36.719745,0,1
16,富山県,16201,富山市,1.6201E+11,黒崎,137.207437,36.652002,0,1
16,富山県,16201,富山市,1.6201E+11,黒瀬,137.19965,36.664147,0,1
16,富山県,16201,富山市,1.6201E+11,黒瀬北町一丁目,137.200617,36.669004,0,3
16,富山県,16201,富山市,1.6201E+11,黒瀬北町二丁目,137.202615,36.665228,0,3
16,富山県,16201,富山市,1.6201E+11,桑原,137.265305,36.615359,0,1
16,富山県,16201,富山市,1.6201E+11,下伏,137.18736,36.548203,0,1
16,富山県,16201,富山市,1.6201E+11,小泉町,137.217082,36.677227,0,1
16,富山県,16201,富山市,1.6201E+11,小糸,137.256279,36.478243,0,1
16,富山県,16201,富山市,1.6201E+11,興人町,137.215024,36.725233,0,1
16,富山県,16201,富山市,1.6201E+11,合田,137.219728,36.612655,0,1
16,富山県,16201,富山市,1.6201E+11,高来,137.290748,36.756924,0,1
16,富山県,16201,富山市,1.6201E+11,小坂,137.280656,36.546605,0,1
16,富山県,16201,富山市,1.6201E+11,古志町一丁目,137.27527,36.757433,0,3
16,富山県,16201,富山市,1.6201E+11,古志町二丁目,137.274837,36.755983,0,3
16,富山県,16201,富山市,1.6201E+11,古志町三丁目,137.274047,36.754655,0,3
16,富山県,16201,富山市,1.6201E+11,古志町四丁目,137.27348,36.753314,0,3
16,富山県,16201,富山市,1.6201E+11,古志町五丁目,137.271248,36.755246,0,3
16,富山県,16201,富山市,1.6201E+11,古志町六丁目,137.270791,36.753916,0,3
16,富山県,16201,富山市,1.6201E+11,小島町,137.219505,36.693492,0,1
16,富山県,16201,富山市,1.6201E+11,小杉,137.22921,36.648259,0,1
16,富山県,16201,富山市,1.6201E+11,五艘,137.194788,36.708259,0,1
16,富山県,16201,富山市,1.6201E+11,小中,137.210747,36.638461,0,1
16,富山県,16201,富山市,1.6201E+11,小西,137.256641,36.721185,0,1
16,富山県,16201,富山市,1.6201E+11,小羽,137.190552,36.564346,0,1
16,富山県,16201,富山市,1.6201E+11,五番町,137.220073,36.686938,0,1
16,富山県,16201,富山市,1.6201E+11,五福,137.19233,36.700942,0,1
16,富山県,16201,富山市,1.6201E+11,五本榎,137.259913,36.716577,0,1
16,富山県,16201,富山市,1.6201E+11,駒見,137.202627,36.705169,0,1
16,富山県,16201,富山市,1.6201E+11,才覚寺,137.193678,36.652776,0,1
